OBJECTID,EVALUATION_YEAR,EVALUATION_DATE,YEAR_OF_HARVEST,STREAM_NAME,STREAM_CLASS_IN_FIELD,CHANNEL_DEPTH,CHANNEL_WIDTH,CHANNEL_GRADIENT_PCT,bcalbers_easting,bcalbers_northing
109,2006,2006-10-02,2003,UNKNOWN,S6,,0.9,2,1325062.374,787685.2696
110,2006,2006-06-07,1998,3,S6,,0.3,7,808707.8692,1203520.886
111,2006,2006-10-24,2002,UNKNOWN,S6,,1.4,7,1331145.182,779535.7047
112,2006,2006-08-02,2003,UNKNOWN,S3,,1.8,3,1331111.519,782235.2307
113,2006,2006-10-05,2004,UNKNOWN,S2,,6,2,1374109.517,759891.9588
114,2006,2006-10-03,2003,UNKNOWN,S4,,1.2,6,1326367.089,781209.8009
115,2006,2006-08-10,2003,STR #1,S2,,5,2,1130570.838,1148448.189
116,2006,2006-06-28,2000,U1,S6,,1.3,40,728734.2813,1038785.125
117,2006,2006-09-11,2001,6,S6,,0.8,35,750528.239,1017472.241
118,2006,2006-10-17,1999,HAYWARD CREEK,S1,,25,1,752122.0145,1013546.734
119,2006,2006-10-10,1999,2,S6,,1.6,3,1015388.551,1274732.885
120,2006,2006-09-19,1999,D4-1,S3,0,3.1,20,804162.2628,931151.0062
121,2006,2006-09-20,1999,16469,S5,,3.2,26,802016.9353,932048.3159
122,2006,2006-09-11,2000,#5,S6,,1.2,4,1098015.098,1285692.727
123,2006,2006-08-28,2001,GC6P,S3,,2,2,734811,994821
124,2006,2006-10-02,2004,STREAM 5,S6,,0.8,40,801859.1869,904807.1206
125,2006,2006-06-27,2000,#2,S6,0,0.7,14,1045012.441,1361201.754
126,2006,2006-10-05,2000,STREAM 18,S3,,1.8,2,788163.193,890011.1379
127,2006,2006-08-23,2002,5C,S6,,0.7,20,728149.7255,1083943.352
128,2006,2006-09-06,2003,STREAM 2,S3,,1.7,3,738041.2882,988907.7774
129,2006,2006-10-11,2003,SYLVIA CRK,S6,,1.5,2,1191849.111,1241872.338
130,2006,2006-08-11,2002,NONE,S5,,3.5,1,1182152.011,1112476.321
131,2006,2006-09-18,2004,13,S6,,1.7,45,805672.0183,932269.7388
132,2006,2006-10-12,2004,STREAM 3,S6,,2.4,35,726941.9699,1053782.363
133,2006,2006-06-01,2001,S6,S6,,1,10,1037089.73,1372603.76
134,2006,2006-09-19,2004,STREAM 1,S6,,1.2,8,940585.8438,947047.2813
135,2006,2006-10-10,2001,S4A,S4,,1.4,1,1183593.25,1146348.711
136,2006,2006-09-19,2003,AA-R1-S6,S6,,0.9,2,988536.2227,1117684.964
137,2006,2006-10-03,2004,30,S6,,2,35,799002.1497,895502.574
138,2006,2006-08-24,2002,STR #2,S3,0,1.5,1,1130585.732,1154998.282
139,2006,2006-09-15,2002,41-B,S4,,1.5,4,1032806.8,948360.8734
140,2006,2006-07-11,2003,STREAM 1,S3,,2.5,3,987158.9063,1044288.031
141,2006,2006-10-10,2004,2,S6,,0.7,5,1000848.655,1264796.425
142,2006,2006-09-08,2001,R1,S4,,0.7,5,993359.902,986379.9425
143,2006,2006-06-13,2002,STREAM 5,S6,,1.5,60,966752.4578,579871.3372
144,2006,2006-06-20,2003,STREAM I-2,S3,,5,25,892173.2829,789123.3977
145,2006,2006-06-19,2003,STREAM2,S6,,1.6,30,892817.7439,695719.7623
146,2006,2006-05-25,2001,S R-1,S3,,0,0,981130.0227,565776.7689
147,2006,2006-05-26,2000,ST#4,S5,,4,45,880854.2354,597406.4408
148,2006,2006-09-15,2002,STREAM 1,S3,,1.5,5,1019973.785,951780.0417
149,2006,2006-08-29,2004,STREAM 1,S4,,0.4,4,991462.8864,1044245.248
150,2006,2006-06-07,1998,#2,S5,,2.1,25,878031.4063,759471.9063
151,2006,2006-06-15,1999,STREAM N,S3,,1.8,5,919372.3942,1024541.613
152,2006,2006-11-08,2003,S6,S6,,0.6,5,1498717.465,643221.1531
153,2006,2006-06-28,2005,NAME,S6,,0.5,3,1497126.98,613583.8912
154,2006,2006-10-25,2004,S6,S6,,0.4,23,1545838.503,590923.328
155,2006,2006-09-13,2004,UNNAMED S6,S6,,1,12,1537190.932,592873.7021
156,2006,2006-09-25,2003,HECKMAN,S3,,5.2,4,1526826.071,595282.3783
157,2006,2006-08-15,2002,STREAM #1,S3,,2,3,1001903.426,1048398.004
158,2006,2006-10-11,1999,STREAM 4,S6,,0.4,8,1030975.153,954152.184
159,2006,2006-08-17,2000,STREAM 1,S3,,1.7,1,1010378.517,1029451.164
160,2006,2006-06-01,2004,15,S6,,0.5,35,850685.9909,617531.8588
161,2006,2006-06-14,2004,10,S6,,1.9,25,927820.1132,601085.7996
162,2006,2006-06-01,1998,UNKNOWN,S4,,0.7,6,1521242.584,644062.2117
163,2006,2006-06-06,2002,STREAM 1 - S4,S4,,0.5,8,1342701.394,1138702.946
164,2006,2006-08-02,1998,R2,S6,,1,2,1282538.12,1340557.365
165,2006,2006-09-13,1998,STREAM B,S6,,0.4,30,1249524.084,1177079.628
166,2006,2006-09-12,2001,STR 1,S6,,0.4,21,1269622.559,1112777.512
167,2006,2006-06-22,2002,ST 4,S6,,1,8,1260849.065,1144128.773
168,2006,2006-09-05,1999,8,S6,,0.4,3,1213639.842,1311283.311
169,2006,2006-09-08,2001,S4,S4,,0.5,8,1302669.993,1105643.402
170,2006,2006-09-05,2002,67,S6,,0.5,7,1238627.483,1417958.223
171,2006,2006-06-08,1999,S3,S3,,3.4,5,1212350.557,1119645.67
172,2006,2006-08-09,2002,3 (S3),S3,,5,2,1307084.102,1194706.132
173,2006,2006-07-05,2003,S6,S6,,0.7,15,1284413.723,938096.624
174,2006,2006-06-01,2001,S6,S6,0,3,30,1043582.966,1336258.695
175,2006,2006-09-26,2001,#6,S6,,0.5,10,1203006.01,1264863.153
176,2006,2006-06-15,2003,R1,S4,,0.6,2,1176318.839,963667.1505
177,2006,2006-06-22,2003,S3,S3,,1.5,2,1212168.292,1048271.313
178,2006,2006-10-02,2002,R1,S3,,2,3,1371429.795,1083273.973
179,2006,2006-07-27,,R1,S2,,4,3,1191189.079,1097597.524
180,2006,2006-07-20,2004,26(2),S6,,1,40,564434.0039,997182.9938
181,2006,2006-09-12,2001,STR 1,S6,,0.6,10,1244181.11,1172801.252
182,2006,2006-07-19,2004,WEST DIVISION CK,S5,,8,8,555207.2801,1007272.055
183,2006,2006-08-31,2004,UNAMED (S4),S4,,2,4,581182.5281,963618.0034
184,2006,2006-07-11,2002,5B S6,S6,,1.5,30,583151.0585,927044.1612
185,2006,2006-09-08,2001,CRK2-S3,S3,,1.5,5,611340.9619,926718.675
186,2006,2006-08-16,2001,UNNAMED,S6,0,0.7,13,1264269.675,867157.3958
187,2006,2006-08-15,2001,UN-NAMED (S4),S4,0,0.5,2,1179856.19,903760.7376
188,2006,2006-09-13,2002,COPP CRK,S3,,1.8,2,601599.4541,992835.2074
189,2006,2006-08-01,2001,UNNAMED,S6,,0.4,2,1213997.661,904133.2599
190,2006,2006-08-02,2001,S3,S3,,2.5,2,1215010.947,911168.5977
191,2006,2006-09-20,1998,2A,S3,,1.5,2,622480,899877
192,2006,2006-07-27,1999,UN-NAMED,S6,,0.3,15,1173340.54,853763.8291
193,2006,2006-06-16,2000,UNNAMED,S4,,0.5,2,1224520.026,842075.6041
194,2006,2006-07-21,2000,12 (1),S6,,1.3,20,569555.3563,1003066.689
195,2006,2006-09-06,2004,UNNAMED,S4,,1.5,8,1791588.682,612599.2717
196,2006,2006-08-01,2004,UNNAMED (S6),S6,,1.5,6,1723787.213,605131.1313
197,2006,2006-09-27,1999,22A,S6,,1,26,565451.5098,968156.1507
198,2006,2006-07-18,1999,UNNAMED (S5),S5,,3.5,13,1716076.09,593079.4404
199,2006,2006-07-26,2001,BLACKFOOT CRK,S2,0,12,4,1757567.903,624982.7986
200,2006,2006-08-17,2004,S4,S4,,1,5,1164623.991,880704.4227
201,2006,2006-09-06,2002,UNNAMED (S4),S4,,1.4,3,1654354.908,709726.2061
202,2006,2006-09-19,1999,UNNAMED,S6,,1,30,1718644.218,670421.5321
203,2006,2006-08-11,2003,UNNAMED,S6,,0.4,2,1266646.066,870787.1302
204,2006,2006-08-15,1999,UNNAMED (S6),S6,,1.1,4,1719044.723,671068.5694
205,2006,2006-09-21,1999,ASSINABOINE CREEK,S2,0,12,3,1725928.745,695489.5208
206,2006,2006-06-29,2002,S6,S6,0,0.5,21,1261969.188,866991.2517
207,2006,2006-09-25,2000,GLASGOW CREEK,S6,,1.5,7,1714942.228,549209.7307
208,2006,2006-07-06,1999,UNNAMED,S2,,5,10,1720321.986,588329.6665
209,2006,2006-08-09,2000,S3,S3,,2.6,7,1804158.596,608422.2522
210,2006,2006-08-09,2001,UNNAMED,S6,0,0.7,5,1261143.115,869846.4315
211,2006,2006-07-17,2004,UNKNOWN,S5,,3.8,4,1080223.763,461536.819
212,2006,2006-08-31,2001,UNNAMED,S4,,1.3,3,1066473.171,416580.1722
213,2006,2006-06-20,2000,TOLLEF CREEK,S6,0,0.8,2,1209780.363,929900.0603
214,2006,2006-09-29,1999,NONE,S5,,3.4,3,1103767.527,403728.112
215,2006,2006-08-18,1999,S5,S5,,2.7,18,1068193.611,461063.3345
216,2006,2006-07-27,1998,UNNAMED,S4,,1.6,35,1063053.402,474538.7993
217,2006,2006-08-02,2008,S-6 STREAM 2,S6,,0.5,50,1183236.407,531071.254
218,2006,2006-08-01,2004,ONE,S6,,1,45,1110346.22,545829.7563
219,2006,2006-07-26,2001,S6,S6,0,1.3,15,1158445.213,507472.1766
220,2006,2006-11-01,2000,CREEK #1,S6,,0.5,60,1071125.012,615112.7479
221,2006,2006-08-30,2000,STREAM1,S3,0,2.4,3,1108673.756,544578.5612
222,2006,2006-08-15,2001,STR 1,S6,,1,43,1196307.129,620955.2196
223,2006,2006-08-22,2002,STREAM1,S6,,0.8,40,1203140.591,508262.3607
224,2006,2006-08-17,2003,STREAM 1,S6,,1.4,24,1204676.459,511816.9144
225,2006,2006-09-12,2002,STR 2,S6,,0.7,56,1211571.652,591032.9096
226,2006,2006-08-25,1999,S3,S3,,1.6,6,860690.4409,1159139.199
227,2006,2006-07-20,1998,FOUR CREEK,S3,,3.3,5,925933.109,1068125.421
228,2006,2006-07-28,2000,2 (MILL CR),S2,,14.5,16,1195233.25,526586.4688
229,2006,2006-07-05,2000,STRM #2 ON PLANS,S6,,1.4,1,842320.3349,1180513.548
230,2006,2006-07-12,2000,28157,S3,,3.3,5,950392.5482,1198360.675
231,2006,2006-09-13,2002,STR 3,S3,,3.7,1,1257932.03,542501.0948
232,2006,2006-07-17,1998,14611,S6,,0.9,11,928714.894,1105640.562
233,2006,2006-08-15,2000,I,S5,0,5,7,917739.812,1083537.12
234,2006,2006-06-06,1999,UNKNOWN,S6,,0.7,6,888006.1058,1184826.362
235,2006,2006-08-31,1999,REACH 1,S4,,1.6,3,1102999.819,948513.0047
236,2006,2006-08-10,1999,REACH 1,S4,,0.7,10,1088078.042,955352.7408
237,2006,2006-06-07,2001,S6,S6,,0.8,5,1325549.408,1035640.19
238,2006,2006-06-29,1999,UNKNOWN,S4,,1.9,2,956020.5921,1096547.144
239,2006,2006-09-12,2000,S4,S3,,1.6,4,1083202.15,911267.8759
240,2006,2006-10-13,2000,STREAM 1,S2,,6,1,1058655.939,933065.554
241,2006,2006-10-06,2001,EARHORN CREEK,S3,,4.2,3,1076922.813,938990.7092
242,2006,2006-08-19,2004,S6XLV,S6,,0.8,8,1062373.98,972901.199
243,2006,2006-09-15,1999,STREAM 1,S3,,2.5,2,1097557.528,913259.8213
244,2006,2006-08-02,2003,S6 WEST,S6,,1.1,12,1063499.99,993567.5366
245,2006,2006-09-14,2004,S4,S3,,1.7,7,1073285.048,915716.3138
246,2006,2006-09-22,2002,STREAM 1,S3,,2.1,1,1102862.144,930530.4459
247,2006,2006-09-06,2005,R1,S4,,1.1,3,1157814.207,950777.2058
248,2006,2006-08-30,2001,STREAM #3,S6,,1,5,1561158.366,533777.7436
249,2006,2006-08-31,2001,STREAM 1,S6,,1,25,1560671.234,533170.4303
250,2006,2006-09-29,1999,N.N-S6,S6,,1.3,40,1585487.226,636671.3569
251,2006,2006-08-29,2001,STREAM 1,S6,,1.2,10,1561743.58,557591.99
252,2006,2006-07-20,2000,OWACHET CREEK,S2,,6.1,3,1089999.367,469305.4568
253,2006,2006-09-27,2003,STREAM 1,S6,,1,20,1549244.76,588852.5231
254,2006,2006-11-01,2003,RMA #2,S6,,1.8,18,1571337.596,602734.0445
255,2006,2006-09-27,2002,STREAM 1,S6,,3,9,1533519.538,568692.8701
256,2006,2006-10-31,2003,STRM #1,S6,,0.6,5,1569985.125,619606.9688
257,2006,2006-10-19,2002,NO NAME,S6,,2.4,10,1462568.38,727720.7715
